,extension_name,perc_change_files,cy_comp,criticality
163,pyc,0.0,0.0,none Non-critical
164,py,0.0,0.0,high Non-critical
165,py,0.0,0.0,high Non-critical
166,py,0.0,0.0,high Non-critical
167,py,0.0,0.0,high Non-critical
168,py,0.0,0.0,high Non-critical
169,txt,2.0,0.0,low Non-critical
170,txt,0.25,0.0,low Non-critical
171,py,0.0,0.0,high Non-critical
172,png,0.0,0.0,low Non-critical
173,iml,0.0,0.0,medium Non-critical
174,xml,0.0,0.0,medium Non-critical
175,xml,0.0,0.0,medium Non-critical
176,xml,0.0,0.0,medium Non-critical
177,xml,0.0,0.0,medium Non-critical
178,xml,0.0,0.0,medium Non-critical
179,py,99.0,0.0,high critical
180,png,0.0,0.0,low Non-critical
181,py,0.0,0.0,high Non-critical
182,txt,2.0,0.0,low Non-critical
183,txt,0.25,0.0,low Non-critical
184,text_gitpredictions,0.0,0.0,none Non-critical
185,py,0.0,0.0,high Non-critical
186,pyc,0.0,0.0,none Non-critical
187,pyc,0.0,0.0,none Non-critical
188,pyc,0.0,0.0,none Non-critical
189,pyc,0.0,0.0,none Non-critical
190,py,0.0,0.0,high Non-critical
191,py,0.0,0.0,high Non-critical
192,py,0.0,0.0,high Non-critical
193,py,3.25,3.0,high Non-critical
194,py,35.0,3.0,high critical
195,txt,0.0,0.0,low Non-critical
196,txt,16.0,3.0,low Non-critical
197,py,3.25,1.0,high Non-critical
198,png,0.0,0.0,low Non-critical
199,iml,0.0,0.0,medium Non-critical
200,xml,0.0,0.0,medium Non-critical
201,xml,0.0,0.0,medium Non-critical
202,xml,0.0,0.0,medium Non-critical
203,xml,0.0,0.0,medium Non-critical
204,xml,0.0,0.0,medium Non-critical
205,py,21.0,0.0,high Non-critical
206,c,26.0,1.0,high critical
207,java,55.0,0.0,high critical
208,txt,88.0,3.0,low critical
209,zip,10.0,2.0,low Non-critical
210,exe,18.0,0.0,medium Non-critical
211,config,65.0,0.0,medium critical
212,gufv juyvbnl,75.0,1.0,none critical
213,gyvgfjkvjft,16.0,0.0,none Non-critical
